TUBERCULOSE - Casos confirmados notificados no Sistema de Informação de Agravos de Notificação - Brasil
Casos confirmados por UF de notificação e Ano Notificação
Período:2001-2020
"UF de notificação";"1980";"1981";"1982";"1983";"1984";"1985";"1986";"1987";"1988";"1989";"1990";"1991";"1992";"1993";"1995";"1996";"1997";"1998";"1999";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"Total"
"11 Rondônia";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;662;636;648;623;628;518;544;563;665;575;686;694;720;690;660;779;772;697;737;590;3;13090
"12 Acre";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;353;373;370;350;329;383;315;327;364;342;392;414;394;440;389;436;489;484;584;553;-;8081
"13 Amazonas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2333;2271;2333;2557;2498;2442;2443;2691;2604;2750;2699;2830;3066;3127;3401;3284;3697;3794;3958;3520;29;58327
"14 Roraima";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;149;172;200;217;160;149;137;156;145;150;167;141;167;148;170;162;206;262;323;293;-;3674
"15 Pará";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3447;3764;3936;4077;3992;3819;3741;3792;4091;4101;4349;4040;4131;3944;3974;4216;4512;4699;5512;4521;24;82682
"16 Amapá";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;216;295;274;277;269;247;275;265;258;219;256;256;220;210;223;284;306;279;363;273;2;5267
"17 Tocantins";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;280;330;275;280;263;256;230;221;217;221;221;181;190;193;190;208;185;233;239;204;3;4620
"21 Maranhão";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2818;2981;2987;2949;3179;2947;2752;2434;2483;2406;2498;2173;2316;2081;2277;2412;2505;2659;2705;2358;33;51953
"22 Piauí";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1547;1471;1400;1576;1564;1352;1319;1231;1117;986;1020;927;903;815;773;794;805;879;874;792;13;22158
"23 Ceará";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3747;4068;5228;4363;4695;4207;4072;4486;4649;4311;4376;4264;4071;3884;4014;4034;4316;4560;4582;3832;28;85787
"24 Rio Grande do Norte";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1139;1167;1356;1368;1343;1191;1091;1203;1212;1103;1239;1218;1273;1194;1142;1183;1331;1597;1452;1553;17;25372
"25 Paraíba";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1338;1391;1451;1507;1473;1134;1180;1319;1328;1327;1421;1399;1452;1332;1234;1221;1357;1531;1501;1274;20;27190
